chem_code,casnum
1038,"87175-02-8  "
1040,"9003-29-6   "
1042,"7429-90-5   "
1044,"5329-14-6   "
1047,"13590-97-1  "
1049,"7978-73-6   "
1050,"35471-43-3  "
1051,"8007-70-3   "
1054,"5964-35-2   "
1055,"44042-47-9  "
1055,"7778-53-2   "
1056,"53404-18-5  "
1059,"53404-30-1  "
1061,"18128-16-0  "
1062,"5335-24-0   "
1065,"141-43-5    "
1074,"1490-04-6   "
1075,"9000-71-9   "
1081,"127-20-8    "
1089,"142-90-5    "
1090,"7758-02-3   "
1091,"88-61-9     "
1092,"1928-47-8   "
1096,"2212-59-1   "
1097,"53404-87-8  "
1099,"6753-47-5   "
1103,"7647-15-6   "
1105,"126-11-4    "
1108,"9004-53-9   "
1110,"53404-08-3  "
1110,"7721-15-5   "
1111,"12001-85-3  "
1113,"53404-29-8  "
1114,"4342-36-3   "
1115,"53404-82-3  "
1116,"24124-25-2  "
1119,"68127-34-4  "
1121,"5064-31-3   "
1122,"91745-52-7  "
1129,"102-30-7    "
1132,"590-00-1    "
1133,"5281-13-0   "
1134,"144-55-8    "
1135,"12276-01-6  "
1136,"8007-02-1   "
1137,"68391-11-7  "
1138,"2646-78-8   "
1140,"8052-42-4   "
1144,"56-95-1     "
1145,"8006-54-0   "
1147,"56-81-5     "
1151,"109-69-3    "
1153,"57-06-7     "
1156,"112-80-1    "
1157,"60-33-3     "
1158,"514-10-3    "
1158,"72452-62-1  "
1161,"499-75-2    "
1164,"61790-57-6  "
1165,"2478-21-9   "
1166,"113497-04-4 "
1166,"124548-64-7 "
1166,"139-08-2    "
1166,"50641-12-8  "
1166,"51931-10-3  "
1166,"77465-44-2  "
1167,"139-07-1    "
1168,"112-18-9    "
1169,"120-40-1    "
1170,"69-72-7     "
1171,"4719-04-4   "
1174,"127-18-4    "
1176,"9002-88-4   "
1177,"17572-97-3  "
1180,"57-68-1     "
1183,"1405-10-3   "
1184,"129-06-6    "
1185,"6317-18-6   "
1188,"1333-82-0   "
1188,"7738-94-5   "
1189,"88-06-2     "
1191,"1336-91-0   "
1191,"51811-15-5  "
1191,"58318-39-1  "
1191,"63393-93-1  "
1196,"60828-78-6  "
1198,"84776-33-0  "
1205,"9004-67-5   "
1212,"19897-44-0  "
1214,"63231-60-7  "
1214,"8002-74-2   "
1216,"9004-81-3   "
1217,"57-92-1     "
1221,"8008-74-0   "
1222,"283-56-7    "
1228,"12379-48-5  "
1230,"544-60-5    "
1231,"68956-68-3  "
1231,"8008-89-7   "
1235,"104-15-3    "
1235,"104-15-4    "
1237,"35471-38-6  "
1238,"5406-97-3   "
1241,"7775-11-3   "
1243,"6458-13-5   "
1244,"9002-93-1   "
1244,"9036-19-5   "
1254,"107-41-5    "
1255,"1928-57-0   "
1256,"2577-72-2   "
1259,"55256-32-1  "
1268,"110-86-1    "
1270,"548-62-9    "
1271,"10190-55-3  "
1273,"61790-45-2  "
1281,"108-88-3    "
1284,"136-47-0    "
1292,"533-96-0    "
1300,"108-10-1    "
1303,"1929-86-8   "
1305,"6120-20-3   "
1306,"1310-58-3   "
1307,"10045-89-3  "
1309,"128-37-0    "
1309,"128-39-2    "
1309,"3304-97-0   "
1314,"34363-01-4  "
1315,"68911-49-9  "
1323,"2818-16-8   "
1325,"8007-44-1   "
1328,"16509-79-8  "
1329,"65-85-0     "
1335,"61791-64-8  "
1336,"1729-67-5   "
1339,"7487-88-9   "
1340,"8048-52-0   "
1341,"804-63-7    "
1342,"578-94-9    "
1344,"25545-89-5  "
1347,"11139-65-4  "
1356,"2164-07-0   "
1357,"53404-74-3  "
1359,"828-00-2    "
1360,"139-96-8    "
1360,"1509-21-3   "
1360,"54119-48-1  "
1360,"65842-83-3  "
1360,"71123-79-0  "
1361,"68140-00-1  "
1362,"68607-28-3  "
1363,"7783-20-2   "
1364,"6915-15-7   "
1371,"3380-34-5   "
1372,"39354-74-0  "
1373,"39354-74-0  "
1380,"61790-63-7  "
1382,"95-95-4     "
1383,"3304-97-0   "
1385,"1320-15-6   "
1389,"61790-12-3  "
1389,"68187-99-5  "
1395,"53404-20-9  "
1399,"1302-78-9   "
1400,"63-42-3     "
1402,"58-36-3     "
1406,"10402-15-0  "
1407,"94-25-7     "
1408,"110-85-0    "
1409,"61790-44-1  "
1411,"64742-16-1  "
1412,"56573-85-4  "
1415,"10043-01-3  "
1421,"1757-18-2   "
1422,"123-92-2    "
1425,"79-00-5     "
1434,"5259-88-1   "
1435,"83-28-3     "
1436,"1216-44-0   "
1439,"30526-22-8  "
1441,"8001-39-6   "
1443,"8009-03-8   "
1445,"35040-03-0  "
1449,"155-04-4    "
1450,"1113-14-0   "
1457,"7440-50-8   "
1459,"75-71-8     "
1460,"75-69-4     "
1461,"8003-34-7   "
1466,"9003-39-8   "
1470,"481-06-1    "
1474,"6369-97-7   "
1478,"104-46-1    "
1482,"71-36-3     "
1485,"531-73-7    "
1486,"140-72-7    "
1487,"134-50-9    "
1492,"130-89-2    "
1501,"4418-26-2   "
1503,"9005-65-6   "
1508,"8008-79-5   "
1510,"8001-23-8   "
1511,"9004-62-0   "
1512,"999-81-5    "
1514,"68441-17-8  "
1517,"8007-75-8   "
1518,"127-41-3    "
1522,"98-01-1     "
1523,"4104-14-7   "
1524,"8006-99-3   "
1532,"15124-09-1  "
1532,"7727-73-3   "
1532,"7757-82-6   "
1535,"122-64-5    "
1538,"3130-29-8   "
1540,"5787-50-8   "
1541,"31366-95-7  "
1543,"53404-78-7  "
1550,"53404-23-2  "
1552,"17804-35-2  "
1556,"7783-96-2   "
1561,"9003-27-4   "
1562,"106-97-8    "
1563,"59-51-8     "
1569,"53467-01-9  "
1571,"75-20-7     "
1572,"106-48-9    "
1573,"53404-19-6  "
1574,"8011-48-1   "
1575,"142-64-3    "
1576,"31512-74-0  "
1578,"119-64-2    "
1579,"7601-54-9   "
1582,"109-86-4    "
1585,"26617-87-8  "
1592,"135-37-5    "
1596,"8046-74-0   "
1598,"68155-06-6  "
1598,"68603-42-9  "
1600,"25322-68-3  "
1601,"1910-42-5   "
1603,"71-23-8     "
1605,"68332-64-9  "
1607,"7758-87-4   "
1608,"53404-45-8  "
1611,"25655-41-8  "
1613,"67989-88-2  "
1615,"31089-39-1  "
1615,"82027-59-6  "
1619,"87-61-6     "
1620,"584-08-7    "
1622,"1928-43-4   "
1623,"10124-56-8  "
1625,"3691-35-8   "
1626,"16672-87-0  "
1629,"50-70-4     "
1630,"68953-96-8  "
1632,"31366-97-9  "
1633,"68610-00-4  "
1634,"18996-35-5  "
1635,"7757-83-7   "
1636,"42721-99-3  "
1638,"13121-70-5  "
1640,"21725-46-2  "
1641,"64771-72-8  "
1643,"53466-87-8  "
1645,"3567-25-7   "
1651,"4776-06-1   "
1653,"5437-45-6   "
1654,"5700-49-2   "
1656,"136-32-3    "
1656,"89598-81-2  "
1657,"8015-86-9   "
1660,"52900-12-6  "
1662,"34375-28-5  "
1664,"61791-39-7  "
1667,"598-82-3    "
1667,"79-33-4     "
1670,"108-74-7    "
1670,"7779-27-3   "
1673,"124-65-2    "
1674,"68443-05-0  "
1675,"13108-52-6  "
1676,"21609-90-5  "
1677,"140-89-6    "
1680,"21634-96-8  "
